municipality_name|municipality_id|comerce_transport_catering|communication|construction|finances_insurance|industry|personal_services|professional_tecnical_activities|real_estate|social_services|total|total_services
Camaleño|39015||||||||||84.0|
Camarasa|25062||||||||||52.0|
Camarena|45031|88.0||57.0||23.0|||||242.0|74.0
Camarena de la Sierra|44054||||||||||11.0|
Camarenilla|45032||||||||||17.0|
Camargo|39016|811.0|28.0|333.0|43.0|190.0|248.0|293.0|96.0|148.0|2190.0|856.0
Camariñas|15016|154.0||75.0|6.0|19.0|49.0|34.0||9.0|354.0|106.0
Camarles|43903|108.0||63.0||18.0|||||266.0|77.0
Camarma de Esteruelas|28032|198.0|10.0|91.0|9.0|44.0|64.0|82.0|28.0|39.0|565.0|232.0
Camarzana de Tera|49033||||||||||53.0|
Camas|41021|655.0|33.0|137.0|41.0|75.0|162.0|247.0|62.0|123.0|1535.0|668.0
Camañas|44053||||||||||8.0|
Cambados|36006|483.0|8.0|139.0|13.0|86.0|83.0|145.0|29.0|73.0|1059.0|351.0
Cambil|23018|44.0||15.0||17.0|||||95.0|19.0
Cambre|15017|665.0|31.0|276.0|39.0|124.0|208.0|293.0|53.0|123.0|1812.0|747.0
Cambrils|43038|997.0|33.0|394.0|54.0|68.0|245.0|462.0|281.0|197.0|2731.0|1272.0
Caminomorisco|10041|34.0||12.0||5.0|||||68.0|17.0
Caminreal|44056||||||||||42.0|
Campana, La|41022|149.0|4.0|36.0|7.0|28.0|21.0|19.0|4.0|11.0|279.0|66.0
Campanario|6028|120.0||27.0||41.0|||||273.0|85.0
Campanet|7012|49.0||47.0||7.0|||||180.0|77.0
Campaspero|47030|20.0||14.0||15.0|||||57.0|8.0
Campdevànol|17036|58.0||40.0||23.0|||||201.0|80.0
Campelles|17037||||||||||13.0|
Campello, el|3050|860.0|51.0|278.0|47.0|48.0|187.0|402.0|149.0|229.0|2251.0|1065.0
Campezo/Kanpezu|1017|28.0||11.0||6.0|||||61.0|16.0
Campillo de Altobuey|16042|45.0||17.0||14.0|||||97.0|21.0
Campillo de Aragón|50071||||||||||4.0|
Campillo de Aranda|9065||||||||||10.0|
Campillo de Arenas|23019|52.0||12.0||10.0|||||107.0|33.0
Campillo de Azaba|37074||||||||||9.0|
Campillo de Deleitosa|10042||||||||||6.0|
Campillo de Llerena|6029|28.0||8.0||5.0|||||59.0|18.0
Campillo de Ranas|19060||||||||||19.0|
Campillo de la Jara, El|45033||||||||||23.0|
Campillo, El|21018|41.0|||||||||71.0|23.0
Campillo, El|47031||||||||||9.0|
Campillos|29032|254.0||55.0||31.0|59.0|84.0|22.0|37.0|554.0|214.0
Campillos-Paravientos|16043||||||||||8.0|
Campins|8039||||||||||75.0|
Campllong|17038||||||||||90.0|
Campo|22074||||||||||60.0|
Campo Lameiro|36007|36.0||24.0||9.0|||||97.0|28.0
Campo Lugar|10043||||||||||41.0|
Campo Real|28033|191.0|7.0|75.0|8.0|59.0|27.0|69.0|20.0|32.0|488.0|163.0
Campo de Criptana|13028|331.0|4.0|173.0|25.0|80.0|92.0|102.0|19.0|47.0|873.0|289.0
Campo de Mirra/Camp de Mirra, el|3051||||||||||22.0|
Campo de Peñaranda, El|37077||||||||||10.0|
Campo de San Pedro|40039||||||||||34.0|
Campo de Villavidel|24033||||||||||6.0|
Campofrío|21019||||||||||30.0|
Campolara|9066||||||||||6.0|
Camponaraya|24034|161.0||63.0||51.0|||||360.0|85.0
Campoo de Enmedio|39027|88.0||36.0||13.0|||||183.0|46.0
Campoo de Yuso|39017||||||||||43.0|
Camporredondo|47032||||||||||5.0|
Camporrobles|46080|30.0||11.0||9.0|||||62.0|12.0
Camporrélls|22075||||||||||8.0|
Campos|7013|299.0|11.0|269.0|16.0|69.0|83.0|172.0|51.0|50.0|1020.0|383.0
Campos del Paraíso|16901||||||||||48.0|
Campos del Río|30014|42.0||22.0||5.0|||||89.0|20.0
Campotéjar|18038|24.0||9.0||9.0|||||58.0|16.0
Camprodon|17039|104.0||47.0||15.0|||||265.0|99.0
Camprovín|26037||||||||||7.0|
Camuñas|45034|51.0||18.0||14.0|||||105.0|22.0
Camós|17035||||||||||36.0|
Canal de Berdún|22076||||||||||25.0|
Canalejas de Peñafiel|47033||||||||||13.0|
Canalejas del Arroyo|16045||||||||||9.0|
Canals|46081|314.0|9.0|97.0|11.0|74.0|94.0|101.0|27.0|57.0|784.0|299.0
Candamo|33010|39.0||23.0||10.0|||||99.0|27.0
Candasnos|22077||||||||||24.0|
Candelaria|38011|618.0|26.0|175.0|53.0|55.0|196.0|309.0|78.0|151.0|1661.0|813.0
Candelario|37078||||||||||56.0|
Candeleda|5047|185.0||57.0||25.0|31.0|40.0|10.0|18.0|376.0|109.0
Candín|24036||||||||||15.0|
Canena|23020|55.0||9.0||13.0|||||96.0|19.0
Canencia|28034||||||||||36.0|
Canet d'Adri|17040||||||||||70.0|
Canet d'En Berenguer|46082|146.0||37.0||20.0|42.0|81.0|29.0|40.0|410.0|207.0
Canet de Mar|8040|363.0|24.0|174.0|32.0|77.0|105.0|193.0|64.0|105.0|1137.0|523.0
Canet lo Roig|12036||||||||||33.0|
Canfranc|22078||||||||||46.0|
Cangas|36008|657.0|24.0|195.0|41.0|80.0|192.0|208.0|61.0|139.0|1597.0|665.0
Cangas de Onís|33012|342.0|4.0|101.0|7.0|37.0|50.0|80.0|41.0|27.0|689.0|209.0
Cangas del Narcea|33011|364.0||141.0||58.0|80.0|87.0|32.0|40.0|819.0|256.0
Canicosa de la Sierra|9067||||||||||34.0|
Caniles|18039|116.0||33.0||31.0|||||240.0|60.0
Canillas de Aceituno|29033|47.0||21.0||9.0|||||106.0|29.0
Canillas de Albaida|29034||||||||||46.0|
Canillas de Esgueva|47034||||||||||4.0|
Canjáyar|4030|33.0||10.0||5.0|||||62.0|14.0
Canonja, La|43907|99.0||57.0||16.0|35.0|31.0|18.0|11.0|274.0|102.0
Canovelles|8041|410.0|14.0|134.0|14.0|96.0|77.0|104.0|97.0|41.0|987.0|347.0
Canredondo|19064||||||||||4.0|
Cantagallo|37080||||||||||17.0|
Cantalapiedra|37081||||||||||36.0|
Cantalejo|40040|137.0||60.0||23.0|||||298.0|78.0
Cantallops|17041||||||||||28.0|
Cantalojas|19065||||||||||14.0|
Cantalpino|37082||||||||||28.0|
Cantaracillo|37083||||||||||10.0|
Cantavieja|44059||||||||||73.0|
Cantillana|41023|264.0||63.0|14.0|33.0|43.0|47.0||32.0|511.0|151.0
Cantimpalos|40041|29.0||22.0||26.0|||||88.0|11.0
Cantoria|4031|96.0||49.0||33.0|||||243.0|65.0
Canyelles|8043|116.0||78.0||19.0|||||352.0|139.0
Capafonts|43039||||||||||6.0|
Caparroso|31065|60.0||21.0||13.0|||||135.0|41.0
Capdepera|7014|367.0|14.0|200.0|14.0|25.0|73.0|211.0|77.0|39.0|1020.0|428.0
Capdesaso|22079||||||||||9.0|
Capela, A|15018|29.0||8.0||6.0|||||65.0|22.0
Capella|22080||||||||||29.0|
Capellades|8044|94.0||43.0||35.0|26.0|36.0|23.0|27.0|293.0|121.0
Capileira|18042||||||||||57.0|
Capilla|6030||||||||||8.0|
Capillas|34045||||||||||4.0|
Capmany|17042||||||||||63.0|
Capolat|8045||||||||||6.0|
Capçanes|43040||||||||||25.0|
Carabaña|28035|53.0||32.0||9.0|||||133.0|39.0
Caracuel de Calatrava|13030||||||||||4.0|
Carataunas|18043||||||||||9.0|
Caravaca de la Cruz|30015|793.0|18.0|188.0|32.0|262.0|164.0|210.0|58.0|120.0|1845.0|602.0
Caravia|33013||||||||||47.0|
Carazo|9070||||||||||6.0|
Carbajales de Alba|49036||||||||||26.0|
Carbajo|10046||||||||||10.0|
Carbajosa de la Sagrada|37085|250.0|14.0|85.0|13.0|54.0|81.0|134.0|16.0|44.0|691.0|302.0
Carballeda de Avia|32018|26.0||22.0||9.0|||||69.0|12.0
Carballeda de Valdeorras|32017|24.0||4.0||33.0|||||76.0|15.0
Carballedo|27009|60.0||24.0||11.0|||||116.0|21.0
Carballiño, O|32019|546.0|10.0|245.0|44.0|83.0|131.0|163.0|48.0|79.0|1349.0|475.0
Carballo|15019|932.0|18.0|639.0|57.0|191.0|224.0|273.0|89.0|155.0|2578.0|816.0
Carbellino|49037||||||||||5.0|
Carboneras|4032|250.0||87.0||17.0|42.0|55.0|24.0|26.0|509.0|155.0
Carboneras de Guadazaón|16055||||||||||45.0|
Carbonero el Mayor|40043|88.0||22.0||25.0|||||169.0|34.0
Carboneros|23021||||||||||19.0|
Carcaboso|10047|29.0||17.0||11.0|||||78.0|21.0
Carcabuey|14015|63.0||16.0||19.0|||||132.0|34.0
Carcaixent|46083|424.0|10.0|146.0|20.0|64.0|128.0|146.0|35.0|86.0|1059.0|425.0
Carcastillo|31067|53.0||12.0||14.0|||||103.0|24.0
Carcedo de Burgos|9072||||||||||32.0|
Carcelén|2020||||||||||26.0|
Cardedeu|8046|469.0|37.0|192.0|27.0|119.0|158.0|322.0|102.0|191.0|1617.0|837.0
Cardenete|16056||||||||||25.0|
Cardeña|14016|36.0||8.0||6.0|||||64.0|14.0
Cardeñadijo|9073|36.0||18.0||7.0|||||114.0|53.0
Cardeñajimeno|9074|28.0||7.0||8.0|||||80.0|37.0
Cardeñosa|5049||||||||||39.0|
Cardeñuela Riopico|9075||||||||||6.0|
Cardiel de los Montes|45035||||||||||16.0|
Cardona|8047|113.0||44.0||43.0|||||347.0|147.0
Cardoso de la Sierra, El|19067||||||||||8.0|
Carenas|50072||||||||||7.0|
Cariñena|50073|88.0||39.0||22.0|||||210.0|61.0
Cariño|15901|107.0||48.0||12.0|||||248.0|81.0
Carlet|46085|369.0|11.0|101.0|19.0|114.0|75.0|151.0|57.0|59.0|956.0|372.0
Carlota, La|14017|437.0|13.0|134.0|14.0|77.0|70.0|93.0|11.0|48.0|897.0|249.0
Carme|8048||||||||||50.0|
Carmena|45036||||||||||30.0|
Carmona|41024|701.0|13.0|271.0|38.0|110.0|164.0|235.0|64.0|130.0|1726.0|644.0
Carmonita|6031||||||||||8.0|
Carnota|15020|112.0||38.0||19.0|||||219.0|50.0
Carolina, La|23024|332.0|6.0|61.0|18.0|86.0|75.0|83.0|20.0|56.0|737.0|258.0
Carpio|47035||||||||||61.0|
Carpio de Tajo, El|45037|34.0||16.0||15.0|||||92.0|27.0
Carpio, El|14018|106.0||18.0||20.0|||||220.0|76.0
Carracedelo|24038|88.0||35.0||26.0|||||205.0|56.0
Carral|15021|181.0||77.0||68.0|47.0|55.0|11.0|25.0|473.0|147.0
Carranque|45038|140.0||84.0||25.0|||||369.0|120.0
Carrascal de Barregas|37087|27.0|||||||||78.0|43.0
Carrascal del Obispo|37088||||||||||12.0|
Carrascal del Río|40044||||||||||10.0|
Carrascalejo|10048||||||||||18.0|
Carratraca|29036||||||||||32.0|
Carrera, La|5051||||||||||7.0|
Carreño|33014|297.0|6.0|86.0|10.0|87.0|65.0|93.0|27.0|49.0|720.0|250.0
Carriches|45039||||||||||14.0|
Carrizo|24039|85.0||36.0||19.0|||||183.0|43.0
Carrizosa|13032|30.0||||18.0|||||63.0|
Carrión de Calatrava|13031|90.0||30.0||13.0|||||184.0|51.0
Carrión de los Condes|34047|96.0||35.0||18.0|||||205.0|56.0
Carrión de los Céspedes|41025|53.0||21.0||11.0|||||112.0|27.0
Carrocera|24040||||||||||31.0|
Carrícola|46086||||||||||5.0|
Cartagena|30016|4405.0|137.0|1328.0|260.0|542.0|1204.0|1935.0|631.0|1009.0|11451.0|5176.0
Cartajima|29037||||||||||10.0|
Cartaya|21021|408.0|12.0|98.0|26.0|48.0|79.0|124.0|29.0|52.0|876.0|322.0
Cartelle|32020|49.0||27.0||17.0|||||121.0|28.0
Cartes|39018|148.0|4.0|53.0|7.0|23.0|43.0|44.0|6.0|18.0|346.0|122.0
Carucedo|24041||||||||||32.0|
Casabermeja|29039|133.0||41.0||16.0|||||258.0|68.0
Casalarreina|26042|35.0||12.0||6.0|||||72.0|19.0
Casar de Cáceres|10049|115.0||44.0||34.0|||||272.0|79.0
Casar de Escalona, El|45040|39.0||35.0||4.0|||||99.0|21.0
Casar de Palomero|10050|31.0|||||||||63.0|17.0
Casar, El|19071|239.0|24.0|161.0|17.0|28.0|85.0|163.0|31.0|60.0|808.0|380.0
Casarabonela|29040|63.0||35.0||7.0|||||152.0|47.0
Casarejos|42055||||||||||7.0|
Casares|29041|138.0|6.0|69.0|10.0|21.0|53.0|92.0|41.0|26.0|456.0|228.0
Casares de las Hurdes|10051||||||||||15.0|
Casariche|41026|141.0||46.0|4.0|58.0|24.0|16.0||8.0|301.0|56.0
Casarrubios del Monte|45041|205.0|4.0|110.0|7.0|83.0|38.0|62.0|21.0|20.0|550.0|152.0
Casarrubuelos|28036|115.0||56.0||23.0|||||280.0|86.0
Casas Altas|46087||||||||||6.0|
Casas Bajas|46088||||||||||17.0|
Casas de Benítez|16060||||||||||46.0|
Casas de Don Antonio|10052||||||||||8.0|
Casas de Don Gómez|10053||||||||||23.0|
Casas de Don Pedro|6033|34.0||12.0||5.0|||||68.0|17.0
Casas de Fernando Alonso|16061|35.0||16.0||10.0|||||71.0|10.0
Casas de Haro|16064||||||||||42.0|
Casas de Juan Núñez|2021|40.0||17.0||5.0|||||76.0|14.0
Casas de Lázaro|2022||||||||||5.0|
Casas de Millán|10056||||||||||25.0|
Casas de Miravete|10057||||||||||8.0|
Casas de Reina|6034||||||||||10.0|
Casas de Ves|2023||||||||||29.0|
Casas de los Pinos|16065||||||||||20.0|
Casas del Castañar|10054||||||||||36.0|
Casas del Monte|10055||||||||||41.0|
Casas del Puerto|5052||||||||||6.0|
Casas-Ibáñez|2024|147.0||62.0||39.0|||||349.0|101.0
Casasbuenas|45042||||||||||7.0|
Casaseca de Campeán|49038||||||||||7.0|
Casaseca de las Chanas|49039||||||||||22.0|
Casasimarro|16066|121.0||34.0||19.0|||||220.0|46.0
Casasola de Arión|47036||||||||||11.0|
Casatejada|10058|27.0|||||||||55.0|15.0
Casavieja|5054|37.0||26.0||5.0|||||88.0|20.0
Casbas de Huesca|22081||||||||||19.0|
Cascante|31068|81.0||50.0||33.0|||||234.0|70.0
Caseres|43041||||||||||10.0|
Casillas|5055||||||||||36.0|
Casillas de Coria|10059||||||||||13.0|
Casillas de Flores|37091||||||||||9.0|
Casinos|46089|82.0||36.0||16.0|||||195.0|61.0
Casla|40045||||||||||16.0|
Caso|33015|33.0|||||||||55.0|13.0
Caspe|50074|197.0||71.0||46.0|70.0|71.0|21.0|38.0|521.0|207.0
Caspueñas|19074||||||||||4.0|
Casserres|8049|60.0||22.0||19.0|||||146.0|45.0
Cassà de la Selva|17044|214.0|18.0|134.0|17.0|83.0|98.0|135.0|54.0|56.0|809.0|378.0
Castalla|3053|276.0|17.0|118.0|14.0|175.0|67.0|92.0|46.0|49.0|854.0|285.0
Castañar de Ibor|10060|34.0||13.0||7.0|||||70.0|16.0
Castañares de Rioja|26043||||||||||39.0|
Castañeda|39019|55.0||53.0||14.0|||||180.0|58.0
Castaño del Robledo|21022||||||||||16.0|
Castejón|16067||||||||||11.0|
Castejón|31070|78.0||24.0||27.0|||||192.0|63.0
Castejón de Monegros|22083||||||||||17.0|
Castejón de Sos|22084||||||||||76.0|
Castejón de Valdejasa|50077||||||||||7.0|
Castejón del Puente|22082||||||||||24.0|
Castel de Cabra|44066||||||||||4.0|
Castelflorite|22085||||||||||4.0|
Castell de Castells|3054||||||||||26.0|
Castell de Guadalest, el|3075||||||||||41.0|
Castell de Mur|25904||||||||||13.0|
Castell de l'Areny|8057||||||||||4.0|
Castell, Es|7064|152.0|13.0|85.0|17.0|28.0|56.0|89.0|28.0|25.0|493.0|228.0
Castell-Platja d'Aro|17048|426.0|12.0|239.0|29.0|22.0|118.0|206.0|166.0|47.0|1265.0|578.0
Castellanos de Moriscos|37092|71.0||24.0||19.0|||||198.0|84.0
Castellanos de Villiquera|37185||||||||||40.0|
Castellanos de Zapardiel|5056||||||||||6.0|
Castellar|23025|94.0||15.0||25.0|||||161.0|27.0
Castellar de Santiago|13033|49.0||16.0||16.0|||||102.0|21.0
Castellar de la Frontera|11013|70.0||24.0||11.0|||||143.0|38.0
Castellar de la Ribera|25064||||||||||4.0|
Castellar de n'Hug|8052||||||||||28.0|
Castellar del Riu|8050||||||||||9.0|
Castellar del Vallès|8051|669.0|26.0|331.0|36.0|274.0|174.0|281.0|131.0|158.0|2080.0|806.0
Castellar, El|44070||||||||||5.0|
Castellbell i el Vilar|8053|83.0||56.0||28.0|||||279.0|112.0
Castellbisbal|8054|411.0|9.0|127.0|17.0|141.0|69.0|141.0|60.0|57.0|1032.0|353.0
Castellcir|8055||||||||||60.0|
Castelldans|25067||||||||||49.0|
Castelldefels|8056|1893.0|171.0|628.0|129.0|181.0|489.0|1176.0|481.0|544.0|5692.0|2990.0
Castellet i la Gornal|8058|50.0||25.0||14.0|||||140.0|51.0
Castellfollit de Riubregós|8060||||||||||12.0|
Castellfollit de la Roca|17046||||||||||68.0|
Castellfollit del Boix|8059||||||||||39.0|
Castellfort|12038||||||||||11.0|
Castellgalí|8061|44.0||24.0||32.0|||||149.0|49.0
Castellnou de Bages|8062|30.0|||||||||89.0|39.0
Castellnou de Seana|25068||||||||||59.0|
Castellnovo|12039||||||||||50.0|
Castellolí|8063||||||||||61.0|
Castellonet de la Conquesta|46091||||||||||9.0|
Castellote|44071||||||||||41.0|
Castellserà|25070||||||||||63.0|
Castellterçol|8064|69.0||55.0||20.0|||||235.0|91.0
Castellvell del Camp|43042|62.0||29.0||8.0|||||207.0|108.0
Castellví de Rosanes|8066|73.0||17.0||24.0|||||182.0|68.0
Castellví de la Marca|8065|50.0||21.0||16.0|||||129.0|42.0
Castelló|46257|196.0|10.0|70.0|7.0|29.0|48.0|30.0|18.0|14.0|422.0|127.0
Castelló d'Empúries|17047|502.0|14.0|243.0|15.0|69.0|106.0|191.0|140.0|47.0|1327.0|513.0
Castelló de Farfanya|25069||||||||||26.0|
Castelló de Rugat|46090|57.0||36.0||17.0|||||160.0|50.0
Castelló de la Plana|12040|5079.0|256.0|1507.0|339.0|611.0|1297.0|2435.0|757.0|1062.0|13343.0|6146.0
Castelnou|44067||||||||||7.0|
Castelserás|44068||||||||||45.0|
Castielfabib|46092||||||||||27.0|
Castiello de Jaca|22086||||||||||17.0|
Castigaleu|22087||||||||||9.0|
Castilblanco|6035||||||||||56.0|
Castilblanco de los Arroyos|41027|136.0||28.0||22.0|||||268.0|82.0
Castiliscar|50078||||||||||11.0|
Castillazuelo|22088||||||||||9.0|
Castilleja de Guzmán|41028|44.0||9.0||6.0|||||155.0|96.0
Castilleja de la Cuesta|41029|351.0|19.0|93.0|30.0|29.0|103.0|140.0|23.0|82.0|870.0|397.0
Castilleja del Campo|41030||||||||||37.0|
Castillejo de Iniesta|16068||||||||||6.0|
Castillejo de Martín Viejo|37096||||||||||6.0|
Castillejo de Mesleón|40046||||||||||8.0|
Castillejo de Robledo|42058||||||||||4.0|
Castillo de Bayuela|45043||||||||||46.0|
Castillo de Garcimuñoz|16072||||||||||12.0|
Castillo de Locubín|23026|86.0||25.0||25.0|||||184.0|48.0
Castillo de las Guardas, El|41031|48.0||13.0||4.0|||||84.0|19.0
Castillonroy|22089||||||||||26.0|
Castilléjar|18045|27.0||12.0||4.0|||||60.0|17.0
Castilruiz|42057||||||||||7.0|
Castrejón de Trabancos|47037||||||||||10.0|
Castrejón de la Peña|34049||||||||||8.0|
Castrelo de Miño|32022|28.0||6.0||19.0|||||71.0|18.0
Castrelo do Val|32021||||||||||28.0|
Castril|18046|60.0||23.0||5.0|||||115.0|27.0
Castrillo de Don Juan|34050||||||||||7.0|
Castrillo de Duero|47038||||||||||8.0|
Castrillo de Villavega|34052||||||||||13.0|
Castrillo de la Guareña|49040||||||||||7.0|
Castrillo de la Reina|9084||||||||||8.0|
Castrillo de la Vega|9085||||||||||36.0|
Castrillo del Val|9086||||||||||64.0|
Castrillo-Tejeriego|47039||||||||||4.0|
Castrillón|33016|535.0|14.0|145.0|31.0|59.0|137.0|200.0|54.0|110.0|1285.0|546.0
Castro Caldelas|32023|45.0||17.0||8.0|||||94.0|24.0
Castro de Filabres|4033||||||||||4.0|
Castro de Rei|27010|119.0||62.0|12.0|21.0|32.0|31.0|10.0||297.0|95.0
Castro del Río|14019|218.0||74.0|5.0|55.0|38.0|37.0||19.0|453.0|106.0
Castro-Urdiales|39020|855.0|29.0|312.0|28.0|83.0|223.0|304.0|104.0|194.0|2132.0|882.0
Castrocalbón|24046||||||||||47.0|
Castrocontrigo|24047||||||||||34.0|
Castrogonzalo|49041||||||||||35.0|
Castrojeriz|9091||||||||||78.0|
Castromocho|34053||||||||||8.0|
Castromonte|47043||||||||||16.0|
Castronuevo|49042||||||||||8.0|
Castronuevo de Esgueva|47044||||||||||17.0|
Castronuño|47045||||||||||40.0|
Castropodame|24049|24.0||15.0||7.0|||||71.0|25.0
Castropol|33017|106.0||37.0||24.0|||||233.0|66.0
Castroponce|47046||||||||||5.0|
Castroverde|27011|86.0||30.0||17.0|||||183.0|50.0
Castroverde de Campos|49043||||||||||14.0|
Castuera|6036|231.0||27.0|17.0|53.0|55.0|53.0||32.0|483.0|172.0
Catadau|46093|60.0||31.0||12.0|||||177.0|74.0
Catarroja|46094|798.0|40.0|223.0|61.0|181.0|173.0|279.0|105.0|140.0|2000.0|798.0
Catllar, El|43043|103.0||62.0||14.0|||||338.0|159.0
Catoira|36010|70.0||23.0||25.0|||||169.0|51.0
Catral|3055|240.0|14.0|85.0|7.0|78.0|50.0|78.0|36.0|32.0|620.0|217.0
Catí|12042||||||||||68.0|
Caudete|2025|231.0||107.0||71.0|63.0|67.0|31.0|43.0|621.0|212.0
Caudete de las Fuentes|46095||||||||||47.0|
Caudiel|12043||||||||||36.0|
Cavia|9063||||||||||27.0|
Cayuela|9093||||||||||13.0|
Cazalegas|45045|82.0||29.0||10.0|||||157.0|36.0
Cazalilla|23027||||||||||24.0|
Cazalla de la Sierra|41032|133.0||27.0||19.0|||||276.0|97.0
Cazorla|23028|227.0|6.0|40.0|13.0|27.0|46.0|50.0|7.0|38.0|454.0|160.0
Cañada|3052|26.0||13.0||25.0|||||91.0|27.0
Cañada Juncosa|16047||||||||||11.0|
Cañada Rosal|41901|96.0||17.0||26.0|||||179.0|40.0
Cañada de Verich, La|44061||||||||||5.0|
Cañada del Hoyo|16046||||||||||10.0|
Cañamares|16048||||||||||27.0|
Cañamero|10044|51.0||25.0||18.0|||||128.0|34.0
Cañas|26040||||||||||5.0|
Cañavate, El|16049||||||||||6.0|
Cañaveral|10045|44.0||10.0||7.0|||||76.0|15.0
Cañaveral de León|21020||||||||||6.0|
Cañaveras|16050||||||||||29.0|
Cañaveruelas|16051||||||||||6.0|
Cañete|16052||||||||||64.0|
Cañete de las Torres|14014|75.0||17.0||18.0|||||143.0|33.0
Cañete la Real|29035|37.0||8.0||8.0|||||64.0|11.0
Cañiza, A|36009|161.0||48.0||24.0|23.0|23.0|14.0|11.0|313.0|80.0
Cañizal|49034||||||||||34.0|
Cañizares|16053||||||||||24.0|
Cañizo|49035||||||||||6.0|
Cea|24051||||||||||16.0|
Cebolla|45046|68.0||57.0||14.0|||||204.0|65.0
Cebreros|5057|77.0||31.0||9.0|||||166.0|49.0
Cebrones del Río|24053||||||||||25.0|
Ceclavín|10061|41.0||20.0||11.0|||||83.0|11.0
Cedeira|15022|212.0|4.0|77.0|13.0|22.0|50.0|57.0|26.0|25.0|486.0|175.0
Cedillo|10062||||||||||16.0|
Cedillo de la Torre|40052||||||||||8.0|
Cedillo del Condado|45047|103.0||74.0||23.0|||||290.0|90.0
Cedrillas|44074||||||||||55.0|
Cee|15023|236.0|6.0|93.0|14.0|27.0|53.0|54.0|24.0|38.0|545.0|189.0
Cehegín|30017|407.0|12.0|131.0|19.0|91.0|99.0|111.0|25.0|65.0|960.0|331.0
Ceinos de Campos|47048||||||||||6.0|
Celada del Camino|9095||||||||||5.0|
Celadas|44075||||||||||15.0|
Celanova|32024|186.0||103.0||24.0|36.0|61.0|14.0|30.0|464.0|151.0
Cella|44076|61.0||31.0||10.0|||||141.0|39.0
Cellera de Ter, La|17189|48.0||28.0||16.0|||||153.0|61.0
Celrà|17049|168.0|8.0|59.0|10.0|30.0|63.0|60.0|29.0|28.0|455.0|198.0
Cendea de Olza/Oltza Zendea|31193|50.0||24.0||18.0|||||148.0|56.0
Cenes de la Vega|18047|221.0|12.0|66.0|22.0|14.0|63.0|95.0|14.0|43.0|550.0|249.0
Cenicero|26046|49.0||9.0||26.0|||||115.0|31.0
Cenicientos|28037|41.0|||||||||82.0|21.0
Cenizate|2026|22.0||16.0||5.0|||||55.0|12.0
Cenlle|32025|28.0||7.0||11.0|||||72.0|26.0
Centelles|8067|181.0|10.0|103.0|6.0|72.0|69.0|103.0|20.0|61.0|625.0|269.0
Centenera|19082||||||||||5.0|
Cepeda|37098||||||||||20.0|
Cerceda|15024|129.0||74.0|12.0|40.0|40.0|30.0||9.0|341.0|98.0
Cercedilla|28038|163.0|16.0|94.0|8.0|12.0|66.0|118.0|21.0|57.0|555.0|286.0
Cercs|8268|25.0||5.0||8.0|||||61.0|23.0
Cerdanyola del Vallès|8266|1423.0|104.0|496.0|95.0|236.0|352.0|857.0|276.0|367.0|4206.0|2051.0
Cerdedo-Cotobade|36902|109.0|4.0|65.0|5.0|20.0|20.0|35.0|14.0|12.0|284.0|90.0
Cerdido|15025|21.0||12.0||6.0|||||59.0|20.0
Cerdà|46096||||||||||20.0|
Cerecinos de Campos|49046||||||||||11.0|
Cerezo|10063||||||||||5.0|
Cerezo de Abajo|40053||||||||||14.0|
Cerezo de Arriba|40054||||||||||14.0|
Cerezo de Río Tirón|9098||||||||||30.0|
Cernadilla|49048||||||||||11.0|
Cerollera, La|44077||||||||||5.0|
Cerralbos, Los|45048||||||||||27.0|
Cerro de Andévalo, El|21023|65.0|||||||||97.0|24.0
Cerro, El|37102||||||||||24.0|
Cervantes|27012|30.0||15.0||4.0|||||56.0|7.0
Cervatos de la Cueza|34055||||||||||14.0|
Cervelló|8068|296.0|14.0|103.0|23.0|60.0|71.0|131.0|50.0|73.0|821.0|362.0
Cervera|25072|270.0||97.0||64.0|68.0|58.0|33.0|37.0|644.0|213.0
Cervera de Buitrago|28039||||||||||12.0|
Cervera de Pisuerga|34056|89.0||33.0||16.0|||||179.0|41.0
Cervera de la Cañada|50079||||||||||4.0|
Cervera de los Montes|45049||||||||||22.0|
Cervera del Llano|16073||||||||||21.0|
Cervera del Maestre|12044||||||||||35.0|
Cervera del Río Alhama|26047|57.0||30.0||28.0|||||141.0|26.0
Cervià de Ter|17050||||||||||81.0|
Cervià de les Garrigues|25073||||||||||41.0|
Cervo|27013|94.0||22.0||14.0|||||182.0|52.0
Cespedosa de Tormes|37103||||||||||32.0|
Cetina|50081||||||||||37.0|
Ceuta|51001|1874.0|43.0|290.0|31.0|73.0|448.0|540.0|129.0|321.0|3749.0|1512.0
Ceutí|30018|333.0|12.0|143.0|15.0|87.0|73.0|81.0|21.0|55.0|820.0|257.0
Cevico Navero|34058||||||||||13.0|
Cevico de la Torre|34057||||||||||23.0|
Chalamera|22094||||||||||5.0|
Chamartín|5067||||||||||4.0|
Chandrexa de Queixa|32029||||||||||8.0|
Chantada|27016|337.0|5.0|100.0|17.0|61.0|68.0|90.0|16.0|28.0|722.0|224.0
Chapinería|28051|59.0||34.0||11.0|||||167.0|63.0
Chauchina|18059|179.0||69.0|5.0|50.0|28.0|33.0|5.0||374.0|76.0
Chañe|40065||||||||||43.0|
Checa|19103||||||||||21.0|
Cheles|6042|20.0||5.0||4.0|||||33.0|4.0
Chella|46107|48.0||31.0||8.0|||||128.0|41.0
